117,173,4,2000-12-08,72.6928125,290.77125
118,171,2,2000-12-11,72.0625,144.125
119,175,2,2000-12-13,70.65625,141.3125
120,177,1,2000-12-14,65.29765625,65.29765625
121,174,4,2000-12-15,64.25,257.0
122,176,2,2001-01-02,58.5625,117.125
123,178,1,2001-01-03,52.1875,52.1875
124,179,4,2001-01-04,61.625,246.5
125,181,1,2001-01-05,59.315625,59.315625
126,182,4,2001-01-05,58.246874999999996,232.98749999999998
127,184,4,2001-01-12,64.0715625,256.28625
128,183,1,2001-01-17,65.2471875,65.2471875
129,187,2,2001-01-26,63.234375,126.46875
130,189,4,2001-02-02,63.412499999999994,253.64999999999998
131,190,1,2001-02-02,61.8925019,61.8925019
132,188,2,2001-02-13,57.650002,115.300004
133,193,2,2001-02-20,52.4875,104.975
134,191,4,2001-02-21,51.549999,206.199996
135,192,1,2001-02-21,51.549999,51.549999
136,195,1,2001-02-22,48.925,48.925
137,194,2,2001-03-08,49.349998,98.699996
138,197,2,2001-03-09,46.074999999999996,92.14999999999999
139,196,1,2001-03-12,44.0,44.0
140,199,1,2001-03-21,40.184999049999995,40.184999049999995
141,198,2,2001-03-27,41.799999,83.599998
142,201,2,2001-03-28,41.0875,82.175
143,200,1,2001-04-06,36.900002,36.900002
144,202,2,2001-04-16,41.939999,83.879998
145,205,3,2001-05-04,45.299999,135.89999699999998
146,206,3,2001-05-21,49.82999890000001,149.4899967
147,207,3,2001-05-24,48.497499049999995,145.49249715
148,208,3,2001-06-12,44.869999,134.609997
149,209,3,2001-06-14,43.50999905,130.52999714999999
150,210,3,2001-07-02,45.650002,136.950006
151,211,3,2001-07-06,43.009998,129.02999400000002
152,212,3,2001-07-24,40.380001,121.14000300000001
153,214,3,2001-08-16,38.475,115.42500000000001
154,216,1,2001-08-30,35.8719981,35.8719981
155,215,3,2001-09-04,36.509998,109.52999400000002
156,218,3,2001-09-07,33.619999,100.85999699999999
157,217,1,2001-09-24,29.08,29.08
158,220,1,2001-09-27,28.12950095,28.12950095
159,219,3,2001-10-01,28.85,86.55000000000001
160,221,1,2001-10-03,30.942451045000002,30.942451045000002
161,224,2,2001-10-17,33.21199905,66.4239981
162,225,2,2001-10-25,36.533198955,73.06639791
163,227,2,2001-10-29,34.95999905,69.9199981
164,228,2,2001-11-07,38.455998955000005,76.91199791000001
165,232,3,2001-12-20,38.949999999999996,116.85
166,233,3,2002-01-09,42.040001,126.120003
167,234,3,2002-01-16,39.05450095,117.16350284999999
168,235,3,2002-02-04,37.959999,113.879997
169,236,4,2002-02-07,35.0739981,140.2959924
170,237,4,2002-02-26,35.23,140.92
171,240,4,2002-04-05,34.25700095,137.0280038
172,241,4,2002-04-23,33.59,134.36
173,242,4,2002-04-26,31.3594981,125.4379924
174,243,4,2002-05-14,32.049999,128.199996
175,244,4,2002-05-22,30.941499999999998,123.76599999999999
176,245,4,2002-06-10,28.360001,113.440004
177,246,5,2002-06-12,26.8375,134.1875
178,247,5,2002-06-28,26.049999,130.249995
179,248,5,2002-07-01,24.795,123.97500000000001
180,249,5,2002-07-18,25.379999,126.899995
181,250,5,2002-07-22,23.4935,117.4675
182,251,5,2002-08-07,23.200001,116.000005
183,253,5,2002-08-26,24.852,124.26
184,254,5,2002-09-12,23.23,116.15
185,255,5,2002-09-19,21.66949905,108.34749525
186,256,5,2002-10-07,20.26,101.30000000000001
187,259,4,2002-11-08,25.14649905,100.5859962
188,260,4,2002-11-21,27.661148955,110.64459582
189,261,4,2002-12-04,26.3435,105.374
190,262,4,2002-12-20,25.33,101.32
191,267,1,2003-01-17,25.745,25.745
192,268,1,2003-02-05,24.33,24.33
193,272,1,2003-03-10,23.9115,23.9115
194,274,1,2003-03-17,26.302650000000003,26.302650000000003
195,276,1,2003-03-31,25.27,25.27
196,278,1,2003-04-16,26.65,26.65
197,283,3,2003-05-20,27.474,82.422
198,285,3,2003-06-04,30.221400000000003,90.66420000000001
199,293,4,2003-09-25,32.794000000000004,131.17600000000002
200,294,4,2003-10-13,35.139999,140.559996
201,297,4,2003-11-18,34.01950095,136.0780038
202,298,4,2003-12-05,35.27,141.08
203,302,4,2004-01-29,36.6605,146.642
204,303,4,2004-02-17,37.279999,149.119996
205,313,4,2004-07-26,33.9625,135.85
206,314,4,2004-08-11,32.849998,131.399992
207,325,4,2005-01-24,36.78400095,147.1360038
208,326,4,2005-02-09,37.77,151.08
209,355,3,2006-05-17,39.472499049999996,118.41749714999999
210,356,3,2006-06-05,39.560001,118.680003
211,359,4,2006-07-14,36.204500949999996,144.81800379999999
212,360,4,2006-08-01,36.77,147.08
213,383,3,2007-07-31,47.803999999999995,143.41199999999998
214,384,3,2007-08-16,45.529999,136.58999699999998
215,390,2,2007-11-08,51.6989981,103.3979962
216,391,2,2007-11-27,49.400002,98.800004
217,393,2,2007-12-18,49.190999049999995,98.38199809999999
218,394,2,2008-01-07,48.400002,96.800004
219,395,3,2008-01-16,45.7614981,137.2844943
220,396,3,2008-02-04,45.580002,136.740006
221,397,3,2008-02-07,42.330002,126.990006
222,398,3,2008-02-26,43.650002,130.950006
223,399,3,2008-03-07,41.866499999999995,125.59949999999998
224,400,3,2008-03-26,44.669998,134.009994
225,406,3,2008-06-27,45.0489981,135.1469943
226,407,3,2008-07-16,44.360001,133.08000299999998
227,410,3,2008-09-02,45.751999999999995,137.25599999999997
228,411,3,2008-09-18,41.099998,123.299994
229,412,3,2008-09-29,39.491499999999995,118.47449999999998
230,413,3,2008-10-15,33.23,99.69
231,414,4,2008-10-23,29.07,116.28
232,415,4,2008-10-29,31.977000000000004,127.90800000000002
233,416,4,2008-11-11,30.191000949999996,120.76400379999998
234,417,4,2008-11-28,29.02,116.08
235,418,4,2008-12-01,27.66400095,110.6560038
236,419,4,2008-12-08,30.430401045,121.72160418
237,420,4,2008-12-12,28.575999999999997,114.30399999999999
238,421,4,2008-12-31,29.459999,117.839996
239,422,4,2009-01-15,28.252999999999997,113.01199999999999
240,423,1,2009-01-20,28.043999999999997,28.043999999999997
241,424,4,2009-02-03,29.469999,117.879996
242,425,1,2009-02-04,30.848399999999998,30.848399999999998
243,427,1,2009-02-20,28.4145,28.4145
244,428,4,2009-03-02,27.120001,108.480004
245,429,1,2009-03-10,26.25,26.25
246,430,4,2009-03-18,29.209999,116.839996
247,438,3,2009-05-13,33.269,99.80699999999999
248,440,3,2009-06-01,35.759998,107.27999400000002
249,443,1,2009-06-23,34.817501899999996,34.817501899999996
250,446,3,2009-07-07,34.5800019,103.7400057
251,445,1,2009-07-10,34.669998,34.669998
252,447,3,2009-07-21,38.07,114.21000000000001
253,461,3,2009-10-30,41.14450095,123.43350285
254,463,3,2009-11-17,44.34,133.02
255,472,1,2010-01-22,44.2605,44.2605
256,473,1,2010-02-09,43.18,43.18
257,486,1,2010-05-05,47.71849999999999,47.71849999999999
258,485,2,2010-05-06,46.90149905,93.8029981
259,487,1,2010-05-21,43.66,43.66
260,488,2,2010-05-24,44.82,89.64
261,493,1,2010-06-29,43.747499049999995,43.747499049999995
262,494,3,2010-06-29,43.082498099999995,129.24749429999997
263,495,1,2010-07-16,45.439999,45.439999
264,496,3,2010-07-16,45.439999,136.319997
265,498,3,2010-08-16,44.3364981,133.0094943
266,499,3,2010-09-01,44.099998,132.299994
267,517,2,2011-06-08,55.44200094999999,110.88400189999999
268,518,2,2011-06-24,55.080002,110.160004
269,521,2,2011-08-04,55.1855,110.371
270,522,2,2011-08-22,51.23,102.46
271,525,2,2011-10-04,50.619999,101.239998
272,526,2,2011-10-10,55.6819989,111.3639978
273,529,2,2011-11-21,53.96950095,107.9390019
274,530,2,2011-12-08,56.709999,113.419998
275,540,2,2012-05-08,63.70699809999999,127.41399619999999
276,541,2,2012-05-24,62.650002,125.300004
277,552,2,2012-11-14,62.57650285,125.1530057
278,553,2,2012-12-03,66.309998,132.619996
279,580,1,2014-02-05,84.05600285,84.05600285
280,581,1,2014-02-24,90.139999,90.139999
281,596,1,2014-10-15,91.57,91.57
282,597,1,2014-10-31,101.68,101.68
283,600,1,2014-12-16,100.1489981,100.1489981
284,601,1,2015-01-05,102.489998,102.489998
285,616,1,2015-08-21,104.9845019,104.9845019
286,617,1,2015-09-09,106.279999,106.279999
287,625,1,2016-01-04,108.58500285,108.58500285
288,626,1,2016-01-21,101.18,101.18
289,636,1,2016-06-27,102.62849905,102.62849905
290,637,1,2016-07-14,111.959999,111.959999
291,673,1,2018-02-05,159.98950379999997,159.98950379999997
292,674,1,2018-02-22,165.539993,165.539993
293,676,1,2018-03-22,164.50200379999998,164.50200379999998
294,677,1,2018-04-10,160.210007,160.210007
295,687,1,2018-10-11,170.09750284999998,170.09750284999998
296,688,1,2018-10-29,169.210007,169.210007
297,690,1,2018-11-20,158.14650095,158.14650095
298,691,1,2018-12-10,161.080002,161.080002
299,692,1,2018-12-19,154.91650665,154.91650665
300,693,1,2019-01-08,159.539993,159.539993
301,702,1,2019-06-03,171.9690038,171.9690038
302,703,1,2019-06-19,186.660004,186.660004
303,706,1,2019-08-05,182.90349905,182.90349905
